Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
64;Konya Şeker San. ve Tic. A.Ş.;2021;5.844.380.565,00;5.982.098.919,00;;;10.037.885.147,00;;;106.561,00;3296;Konya Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.konyaseker.com.tr;Konya;Meram;Melikşah Mah. Beyşehir Cad. No.41
65;Yeşilyurt Demir Çelik Endüstri ve Liman İşletmeleri A.Ş.;2021;5.819.778.369,00;5.975.873.369,00;948.750.085,00;;;419.146.200,00;584.677.039,00;377.767,00;;Samsun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.yesilyurtdc.com.tr;Samsun;Tekkeköy;Cumhuriyet Mah. Akal Cad. No.1
66;Abalıoğlu Yağ San. ve Tic. A.Ş.;2021;5.692.074.728,00;6.684.758.173,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.abaliogluyag.com;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10006/1 Sok. No.19
67;Philsa Philip Morris Sabancı Sigara ve Tütüncülük San. ve Tic. A.Ş.;2021;5.680.983.058,00;5.727.862.597,00;;;;;;112.054,00;;İstanbul Sanayi Odası;0,00;25,00;75,00;0,00;Tütün ürünleri imalatı;12        ;Tütün İşleme Sanayi;314       ;www.philsa.com.tr;İzmir;Torbalı;7 Eylül Mah. Philsa Cad. No.32 
68;Posco Assan TST Çelik Sanayi A.Ş.;2021;5.546.529.915,00;5.553.369.907,00;1.452.649.450,00;1.878.997.679,00;4.048.806.691,00;472.456.890,00;1.236.882.901,00;162.887,00;498;Kocaeli Sanayi Odası;0,00;30,00;70,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.poscoassan.com.tr;Kocaeli;İzmit;Asım Kibar Organize Sanayi Bölgesi 1. Cadde No.4 Alikahya
69;Erdemir Çelik Servis Merkezi San. ve Tic. A.Ş.;2021;5.407.379.168,00;8.361.665.714,00;475.682.785,00;289.363.555,00;3.756.855.230,00;112.275.384,00;518.253.445,00;93.193,00;308;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.ersem.com.tr;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi Mah. 700. Sok. No.724/1 
70;Koç Metalurji A.Ş.;2021;5.352.882.442,00;5.416.591.074,00;518.535.027,00;756.593.913,00;1.455.183.861,00;336.865.780,00;287.381.400,00;;474;Dörtyol Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.kocmetalurji.com.tr;İstanbul;Şişli;Koç Plaza Birahane  Sok. No.3/5 Bomonti
71;Şenpiliç Gıda Sanayi A.Ş.;2021;5.342.252.295,00;5.413.648.686,00;;;;;;;;Sakarya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.senpilic.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. No.2/68 Palladıum Tower
72;Ekinciler Demir ve Çelik Sanayi A.Ş.;2021;5.330.525.549,00;5.347.357.889,00;;571.665.255,00;2.160.388.959,00;;;180.372,00;752;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.ekinciler.com;İstanbul;Sarıyer;Ayazağa Yolu No.7 Giz 2000 Plaza K.3 Maslak
73;Petlas Lastik San. ve Tic. A.Ş.;2021;5.206.055.579,00;5.233.837.428,00;;;;;;;;Kırşehir Ticaret ve Sanayi Odası;0,03;99,97;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.petlas.com.tr;Kırşehir;Merkez;Kındam Mah. AnkaraKayseri Cad. No.2/1 
74;Modern Oluklu Mukavva Ambalaj San. ve Tic. A.Ş.;2021;5.147.246.614,00;5.191.285.743,00;;;;;;;;Çorlu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.modernambalaj.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul C2 Blok No.2 A İç Kapı No.12
75;Afşin Elbistan Elektrik Üretim ve Ticaret A.Ş.;2021;5.136.181.267,00;6.142.789.092,00;637.104.863,00;519.933.625,00;12.224.714.882,00;22.723.566,00;1.601.447.376,00;;2079;Afşin Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.celiklerholding.com.tr;Ankara;Çankaya;Gaziosmanpaşa Mah. Nene Hatun Cad. No.106
76;Ravago Petrokimya Üretim A.Ş.;2021;5.051.660.360,00;5.212.945.495,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.ravagopetrokimya.com;İzmir;Aliağa;Çoraklar Mah. 5000 Sok. No.7
77;SÜTAŞ Süt Ürünleri A.Ş.;2021;4.996.058.492,00;6.041.371.003,00;;2.002.982.968,00;4.713.116.022,00;;;20.308,00;4383;Karacabey Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.sutas.com.tr;Bursa;Karacabey;Uluabat Mah.
78;Kazan Soda Elektrik Üretim A.Ş.;2021;4.914.765.672,00;4.987.742.311,00;;;8.034.342.728,00;;1.864.193.480,00;185.584,00;738;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Diğer madencilik ve taş ocakçılığı;08        ;"Madencilik ve Taşocakçılığı
";210       ;www.kazansoda.com;Ankara;Yenimahalle;Beştepe Mah. Söğütözü Cad. No.14/D
79;Gülsan Sentetik Dokuma San. ve Tic. A.Ş.;2021;4.866.176.974,00;4.935.707.083,00;;;;;;;2695;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.gulsanholding.com;Gaziantep;Şehitkamil;Organize Sanayi Bölgesi 83102 Nolu Cad. No.16 Başpınar
80;Banvit Bandırma Vitaminli Yem Sanayi A.Ş.;2021;4.821.306.391,00;5.213.295.739,00;1.085.587.665,00;532.087.749,00;3.329.334.833,00;374.628.642,00;761.313.311,00;98.664,00;5187;Balıkesir Sanayi Odası;0,00;0,00;91,71;8,29;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.banvit.com;Balıkesir;Bandırma;Ömerli Mah. Ömerli Sok. No.208
81;Türkiye Kömür İşletmeleri Kurumu;2021;4.711.286.525,00;5.603.440.938,00;3.194.528.780,00;2.226.011.953,00;5.695.354.173,00;322.414.263,00;975.718.687,00;;4052;Kamu;100,00;0,00;0,00;0,00;Kömür ve linyit çıkartılması;05        ;"Madencilik ve Taşocakçılığı
";210       ;www.tki.gov.tr;Ankara;Yenimahalle;Gazi Mah. Hipodrom Cad. No.12
82;Kipaş Mensucat İşletmeleri A.Ş.;2021;4.640.979.689,00;4.702.183.537,00;;2.053.574.280,00;7.533.923.296,00;;;139.647,00;5989;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.kipas.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A
83;Asil Çelik San. ve Tic. A.Ş.;2021;4.625.331.789,00;4.657.449.491,00;;;;;;140.314,00;1146;Orhangazi Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.asilcelik.com.tr;Kocaeli;Çayırova;TOSB Otomotiv (OSB) Mah. 13. Sok. No.3/1
84;Sarten Ambalaj San. ve Tic. A.Ş.;2021;4.604.758.868,00;4.753.969.576,00;1.178.575.684,00;899.637.751,00;5.348.195.400,00;155.383.115,00;985.516.559,00;191.949,00;3278;İstanbul Sanayi Odası;0,00;85,00;15,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.sarten.com.tr;İstanbul;Şişli;Ferko Signature Büyükdere Cad. No.175/100
85;Indorama Ventures Corlu Pet Sanayi A.Ş.;2021;4.551.034.291,00;4.552.639.318,00;639.324.018,00;;;493.687.634,00;;163.481,00;;Çorlu Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.indoramaventures.com;Tekirdağ;Ergene;Karamehmet Mah. Avrupa Serbest Bölgesi 3. Sok. No.2
86;İpragaz A.Ş.;2021;4.527.999.542,00;5.170.447.949,00;;;;;;;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19        ;Petrol Ürünleri Sanayi;353       ;www.ipragaz.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul Sitesi C2 Blok No.2A/25 (Kat.2124)
87;Er Piliç Entegre Tavukçuluk Üretim Pazarlama ve Ticaret A.Ş.;2021;4.492.942.660,00;5.873.491.942,00;;;;;;;;Bolu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.erpilic.com.tr;Bolu;Merkez;Doğancı Köyü Mudurnu Yolu Cad. No.67
88;Bunge Gıda San. ve Tic. A.Ş.;2021;4.437.658.986,00;6.920.384.178,00;;;;;;47.878,00;403;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.bunge.com.tr;İstanbul;Maltepe;Aydınevler Sanayi Cad. Centrum İş Merkezi No.3/301 Küçükyalı
89;Çay İşletmeleri Genel Müdürlüğü;2021;4.404.606.606,00;4.657.965.180,00;1.314.385.840,00;1.285.702.836,00;6.799.412.858,00;503.839.607,00;177.681.453,00;8.818,00;6493;Kamu;100,00;0,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.caykur.gov.tr;Rize;Merkez;Müftü Mah. Menderes Bulvarı
90;İGSAŞİstanbul Gübre Sanayii A.Ş.;2021;4.391.885.483,00;8.570.082.058,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.igsas.com.tr;Kocaeli;Körfez;Güney Mah. Petrol Cad. No.27
91;OYAK Çimento Fabrikaları A.Ş.;2021;4.353.021.002,00;4.365.804.661,00;;;;;;;;Ankara Sanayi Odası;0,00;73,25;0,00;26,75;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.oyakcimento.com.tr;Ankara;Çankaya;Çukurambar Mah. 1480 Sok. No.2 A/56 
92;Sanko Tekstil İşletmeleri San. ve Tic. A.Ş.;2021;4.304.478.275,00;4.685.283.893,00;;;;;;139.358,00;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.sanko.com.tr;Gaziantep;Şehitkamil;Burak Mah. Sani Konukoğlu Bulvarı No.223
93;Abalıoğlu Lezita Gıda Sanayi A.Ş.;2021;4.270.900.962,00;4.399.171.352,00;;;;;;;;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.abalioglu.com;Denizli;Merkezefendi;Eskihisar Mah. Pamukkale Bulvarı No.2/A
95;Tersan Tersanecilik San. ve Tic. A.Ş.;2021;4.250.870.668,00;4.278.560.132,00;2.017.112.093,00;1.076.694.855,00;9.951.404.167,00;415.584.437,00;302.214.031,00;433.536,00;846;Yalova Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer ulaşım araçlarının imalatı;30        ;Taşıt Araçları Sanayi;384       ;www.tersanshipyard.com;Yalova;Altınova;Tavşanlı Beldesi Fatih Mah. Boğaziçi Cad. No.304
96;Bosch Termoteknik Isıtma ve Klima San. Tic. A.Ş.;2021;4.245.826.968,00;4.585.305.377,00;;1.197.808.095,00;2.317.103.746,00;;;350.449,00;;Manisa Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.boschtermoteknik.com.tr;Manisa;Yunusemre;Manisa OSB 2. Kısım Keçiliköy OSB Mah. Gaziler Cad. No.2
97;Özkan Demir Çelik Sanayi A.Ş.;2021;4.198.253.258,00;4.218.540.197,00;1.277.221.367,00;2.850.897.188,00;6.745.855.641,00;655.558.116,00;;148.473,00;777;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.ozkansteel.com;İzmir;Aliağa;Bozköy Mah. 13. Cad. No.4
98;Tosyalı Filmaşin ve İnşaat Demir Üretim Sanayi A.Ş.;2021;4.191.587.989,00;4.412.201.280,00;;;;;;;;İskenderun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.toscelik.com.tr;Hatay;İskenderun;Sarıseki Mah. Organize San. Böl. Necati Özsoy Cad. No.12
99;Mescier Demir Çelik San. ve Tic. A.Ş.;2021;4.165.440.897,00;4.644.608.219,00;646.590.272,00;324.665.211,00;2.810.476.506,00;98.541.343,00;511.013.235,00;331.993,00;1039;Karabük Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.mescierdc.com.tr;Karabük;Merkez;Kurtuluş  Mah. Sanayi Bölgesi No.50
100;Mega Metal San. ve Tic. A.Ş.;2021;4.094.054.851,00;4.368.668.379,00;;149.583.303,00;1.834.801.276,00;;333.171.329,00;261.415,00;622;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.megametal.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 12. Cad. No.61
101;JTI Tütün Ürünleri Sanayi A.Ş.;2021;4.071.960.718,00;4.088.298.857,00;20.855.693.303,00;1.617.828.607,00;5.912.363.217,00;383.185.499,00;709.687.572,00;136.204,00;760;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Tütün ürünleri imalatı;12        ;Tütün İşleme Sanayi;314       ;www.jti.com;İzmir;Torbalı;Çapak Mah. 2561 Sok. No.12
102;Kocaer Çelik San. ve Tic. A.Ş.;2021;4.064.128.692,00;4.266.725.902,00;841.718.245,00;591.363.526,00;3.152.946.146,00;174.328.339,00;778.681.013,00;275.414,00;694;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.kocaersteel.com;Denizli;Merkezefendi;Gümüşçay Mah. Menderes Bulvarı No.45
104;İçdaş Elektrik Enerjisi Üretim ve Yatırım A.Ş.;2021;3.968.733.285,00;3.968.733.285,00;587.655.551,00;1.482.273.699,00;3.267.611.065,00;368.286.987,00;599.741.094,00;;639;Çanakkale Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.icdas.com.tr;İstanbul;Bağcılar;Mahmutbey Mah. Dilmenler Cad. No.20 
105;Merinos Halı San. ve Tic. A.Ş.;2021;3.925.222.235,00;4.067.092.462,00;1.298.981.125,00;306.872.569,00;6.075.713.430,00;632.891.303,00;1.016.192.761,00;290.112,00;5125;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.merinos.com.tr;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi M. Lütfullah Bilgin Bulvarı No.21
106;Kayseri Şeker Fabrikası A.Ş.;2021;3.924.668.537,00;4.479.887.575,00;;;2.862.977.174,00;;;;;Kayseri Sanayi Odası;11,07;88,93;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.kayseriseker.com.tr;Kayseri;Kocasinan;Şeker Mah. Osman Kavuncu Bulvarı No.314
107;HES Hacılar Elektrik San. ve Tic. A.Ş.;2021;3.862.419.110,00;3.864.914.009,00;738.229.852,00;1.030.980.172,00;2.264.192.759,00;271.770.060,00;467.039.507,00;115.131,00;1062;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.hes.com.tr;Kayseri;Hacılar;Erciyes Mah. Hes Cad. No.22
108;Oba Makarnacılık San. ve Tic. A.Ş.;2021;3.859.212.991,00;5.565.554.476,00;;;;;;;;Gaziantep Sanayi Odası;0,00;70,00;30,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.obamakarna.com.tr;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83422 Nolu Cad. No.1 Başpınar
109;Hasçelik Kablo San. ve Tic. A.Ş.;2021;3.814.119.365,00;3.850.976.144,00;;;;;;;;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.hascelik.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 18. Cad. No.21
110;Atlas Enerji Üretim A.Ş.;2021;3.773.184.190,00;3.778.911.036,00;;;3.288.480.449,00;;;1.875,00;407;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.dilerhld.com;İstanbul;Sarıyer;Maslak Mah. Eski Büyükdere Cad. Koçkaya As Plaza Blok No.1 Kat.2
111;Daikin Isıtma ve Soğutma Sistemleri San. Tic. A.Ş.;2021;3.717.604.970,00;5.459.066.028,00;533.397.786,00;1.656.069.609,00;3.145.846.232,00;192.927.048,00;409.892.288,00;285.867,00;1762;Sakarya Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.daikin.com.tr;İstanbul;Maltepe;Gülsuyu Mah. Fevzi Çakmak Cad. Burçak Sok. No:20
112;Abdi İbrahim İlaç San. ve Tic. A.Ş.;2021;3.707.040.215,00;4.923.344.890,00;;4.498.346.365,00;6.214.521.845,00;;;72.652,00;3857;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.abdiibrahim.com.tr;İstanbul;Sarıyer;Reşitpaşa Mah. Eski Büyükdere Cad. No.4 Maslak
113;Renta Elektrikli Ev Aletleri San. ve Dış Tic. Ltd. Şti.;2021;3.705.876.443,00;3.937.036.563,00;711.958.957,00;698.267.162,00;3.480.756.866,00;108.706.205,00;525.134.557,00;387.561,00;1746;Eskişehir Sanayi Odası;0,00;0,00;100,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.hoover.com.tr;İstanbul;Ataşehir;Barbaros Mah. Begonya Sok. No.3/96 Nidakule Ataşehir Kuzey
114;Eti Alüminyum A.Ş.;2021;3.701.061.778,00;3.701.061.778,00;2.171.195.809,00;;;1.892.214.835,00;;;;Konya Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.etialuminyum.com;Konya;Seydişehir;Atatürk Cad.
115;Gümüşdoğa Su Ürünleri Üretim İhracat ve İthalat A.Ş.;2021;3.674.499.542,00;3.731.499.542,00;1.129.117.206,00;2.335.232.914,00;5.293.918.413,00;684.467.528,00;1.012.922.016,00;173.743,00;2165;Milas Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.gumusdoga.com.tr;Muğla;Milas;Akyol Mah. Merkez Sok. No.240/A
116;Tırsan Treyler San. ve Tic. A.Ş.;2021;3.661.283.233,00;3.721.148.693,00;;1.411.468.535,00;;;;247.703,00;1077;Sakarya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.tirsan.com.tr;Sakarya;Arifiye;Adliye Köyü 1520 Nolu Sok. No.3
117;Pro Yem San. ve Tic. A.Ş.;2021;3.622.768.891,00;3.892.815.585,00;;;;;;;;Karacabey Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.proyem.com.tr;Bursa;Osmangazi;Panayır Mah. 602. Sok. No.14
118;Seval Kablo Aydınlatma Cihazları İth. İhr. San. ve Tic. A.Ş.;2021;3.562.056.509,00;3.616.518.038,00;;;;;;;;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.sevalkablo.com;Denizli;Merkezefendi;Hacı Eyüplü Mah. 3119 Sok. No.5
119;Goodyear Lastikleri T.A.Ş.;2021;3.559.408.366,00;4.633.362.064,00;1.116.271.207,00;1.237.651.290,00;3.305.270.905,00;330.614.721,00;595.888.015,00;231.556,00;1615;İstanbul Sanayi Odası;0,00;0,00;74,60;25,40;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.goodyear.eu/tr_tr;İstanbul;Sarıyer;Maslak Mah. Sümer Sok. Mob Binası No.4
120;BEYPİ Beypazarı Tarımsal Üretim Pazarlama San. ve Tic. A.Ş.;2021;3.531.200.241,00;3.605.133.810,00;;;;;;;;Bolu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.beypilic.com.tr;Bolu;Merkez;Vakıfgeçitveren Köyü Kabakçıkırı Sok. No.4
121;Makine ve Kimya Endüstrisi A.Ş.;2021;3.489.934.431,00;4.174.725.865,00;;;;;;;;Kamu;100,00;0,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.mke.gov.tr;Ankara;Yenimahalle;Emniyet Mah. Dögol Cad. No.2 Anadolu Meydanı
122;Otokar Otomotiv ve Savunma Sanayi A.Ş.;2021;3.480.191.356,00;4.063.901.814,00;1.386.826.348,00;1.334.962.039,00;4.761.240.743,00;766.457.347,00;797.780.427,00;283.843,00;2295;İstanbul Sanayi Odası;0,00;72,15;0,00;27,85;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.otokar.com.tr;İstanbul;Maltepe;Aydınevler Mah. Saygı Cad. No.58
123;Limak Çimento San. ve Tic. A.Ş.;2021;3.477.434.097,00;3.641.308.345,00;653.131.196,00;2.814.739.041,00;9.182.783.269,00;2.773.959.952,00;493.586.757,00;79.381,00;1363;Siirt Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.limakcimento.com;Siirt;Kurtalan;Oyacık Köyü Mevkii Siirt Yolu Üzeri 4. Km 
124;Korteks Mensucat San. ve Tic. A.Ş.;2021;3.476.288.475,00;3.478.280.071,00;761.105.620,00;2.707.089.279,00;8.900.958.647,00;1.585.658.231,00;1.139.340.744,00;48.301,00;2812;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.korteks.com.tr;Bursa;Nilüfer;Fethiye OSB Mah. Sarı Cad. No.3
125;HidromekHidrolik ve Mekanik Makina İmalat San. ve Tic. A.Ş.;2021;3.450.992.517,00;3.906.277.885,00;1.556.009.642,00;4.615.418.204,00;5.340.104.258,00;1.903.109.337,00;1.249.118.620,00;199.711,00;1978;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.hidromek.com.tr;Ankara;Sincan;Ahi Evran OSB Mah. Osmanlı Cad. No.1
126;Betek Boya ve Kimya Sanayi A.Ş.;2021;3.437.789.279,00;3.617.575.311,00;;;;;;35.517,00;1631;İstanbul Sanayi Odası;0,00;0,33;99,67;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.betek.com.tr;İstanbul;Maltepe;Zümrütevler Mah. Ural Sok. No.38
127;Yazaki Otomotiv Yan San. ve Tic. A.Ş.;2021;3.414.165.475,00;3.494.259.360,00;;;;;;;;Akyazı Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.yazaki.com.tr;Sakarya;Akyazı;Kuzuluk Mah. Yazakisa Cad. No.36
128;Köksan Pet ve Plastik Ambalaj San. ve Tic. A.Ş.;2021;3.397.777.216,00;5.686.333.379,00;;3.189.885.989,00;4.882.544.276,00;;;135.939,00;871;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.koksan.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83422 Nolu Cad. No.10
129;Tosyalı Demir Çelik Sanayi A.Ş.;2021;3.376.519.582,00;3.912.685.398,00;;;;;;;;İskenderun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.tosyaliholding.com.tr;Hatay;İskenderun;Organize Sanayi Bölgesi Necati Özsoy Cad. No.12 Sarıseki
